,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
227,"[Certificate,Certificate,BCom: Information Management,Diploma: Network Engineering]","[3IT,Star FM,St Michaels Preperatory School,Webroot Inc,Yamikani Radio,Zivo technologies,Zivo Technologies]","[Web Developer,IT Technician,Store Manager,PHP Developer,Assistant Store Manager,Technical Business Analyst,Business Systems Analyst,Mobile Application Developer]","[Substitute Teacher,Retail Manager,Web developer,Junior Web Developer]",Radio DJ,"[Radio DJ,IT Technician]","[PC repair,mac repair,php programming,network administration,planning and organisational skills,web development,system security,sql database administration,negotiating and influence,project management,Microsoft Office,DJing,data mining,network security,visual studio development,dreamweaver development,financial managenment,adobe illustrator,corel draw,angular js 2,css,asp.net MVC,lavarel development,Networking,radio presentation,Windows / Mac OS installations,Hardware repair,graphics design,HTML,IBM Aix administration,photoshop,ionic 2,xamarin development,Java programming]",228
228,"[Mcts Winforms, Web, Distributed Applications,Mcts : Wpf,Computer Science]","[NDC,Redpanda Software,UCS Software]","[Software Developer,UX Designer,Programmer]",[Delphi Programmer],Developer,"[Software Developer,Delphi PHP Developer]","[C#  - Wpf, Winforms, Asp,Html, Css, Javascript,Java With Gwt,Delphi,PHP,Vb Programming]",229
229,[Bachelor of Science],"[Credit Direct Limited,Realty Point Limited,Vencube Resources Limited]","[Software Engineer,Software Developer C#.NET,Software Developer,Solution Architect]",[IT Developer],Lead  Business Automation,"[IT Solutions Developer,ICT Executive]","[Software Development,.Net C#,WCF,ASP.NET,MVC,SQL,Software Design Patterns,Web Forms]",230
230,[B.Sc Computer Science & Information Systems],"[Cozatch Business Solutions,Nubian,SME IT Solutions,Spectiles]","[IT Manager,Chief Information Officer]",[IT Manager],Director,"[Senior Developer,Director]","[Software development,Business Analyst,Sage ERP X3,ERP Consultant,HansaWorld ERP,Integration Specialist]",231
231,"[Financial Management For Non-Financial Managers,Mcdba,Certificate In Project Management,B.Comm Informatics,Matric]","[Global Technology,IS Partners,Metrofile,Rand Afrikaans University,Sekunjalo IT,Transet Housing,Vircom / Logical]",[],"[Junior Developer and Business Analyst,Data Capturer,Personal Assistance Receptionist,Student Assistant Nursing Department]",Project Manager,"[Business Analyst Project Manager,Systems Developer and Implementer]","[Business Requirements Definition,Technical Specifications,Olap / Data Warehousing,Interviewing And Information Gathering,Running Of Workshops,Microsoft Project 2000 And 2003,Project Management,Dimensional Modeling,Training,Sql 6.5, 7.0, 2000 And 2005,Visual Basic 4.0, 5.0, 6.0,Sql Analysis Services 2000,Sql Data Transformation Services,Proclarity 5.0 And 6.0,Business Scorecard Manager 2005,Visual Basic For Applications,Intelligent Apps 3.5,Visual Basic .Net,Crystal Reports 8.0 And 8.5,Business Scorecard Accelerator,Training Documentation,Sql Analysis Services 2005,Asp And Vb Script,Com +,Microsoft Transactional Server,Active Reports,Sql Dmo,Microsoft Access,Sql Server Integration Services,Microsoft Sharepoint]",232
232,"[Asp Programming,Visual Basic Programming (Module 1 Of Mscd),Dtp Graphic Design,Html Web Design,Matric]","[Affinity Logic - Ecommerce Division,Learnthings]",[],[],Flash Designer Developer,[Web Designer],"[Photoshop 7.0,Flash 5 & Mx,Flash Actionscript,Javascript,HTML,Dreamweaver,ASP,Visual Basic 6]",233
233,[Business Information Systems],[Roque Pixel],"[Sofware,Software Developer,Junior Software Developer,Graphic Design,IT Admin,IT Support,Software Support,Software Programmer,Admin Work]",[],Lead Software Developer,[],"[Graphic Design,Javascript,Adobe Illustrator,InDesign,CSS,.NET,HTML,Adobe Photoshop,Corel Draw,PHP,C#,Android]",234
234,"[Scrum / Agile Development,Sap Abap Programming,Java Programming,Creative Minds Certified Instructor,B Diac Degree In Youth Work    Unisa,N. Dip. Mechanical Engineering,Matric Certificate]","[Camelcase Software,Chase Media Systems,Equilogic,Mastercard,Rfid Institute,Services Consulting & Training]","[Intermediate C# Developer,Junior Web Developer,WPF,Junior Front-End Developer,Java / C# Programmer]","[Software Developer,C# Software Developer,SAP ABAP SAP Authorizations]",Software Developer,"[Intermediate C# Developer,Software Developer]","[SQL,Entity Frame work 6,DevExpress GUI,CSLA framework,Windows Forms,XAML,WPF,DevExpress Reports,MS Office:Word,Excel,PowerPoint,Access,Publisher,MS Office: Frontpage. Pastel 5,Internet,E-Mail,WPF XAML,C# Programming Language,LINQ,Java: Swing, Threads, Applets, Exception Handling,Team Foundation server,MVVM,Entity Framework 6,Scrum / Agile Development,ADO.Net,Java 2.0 Programming,Counselling,Java: Object Oriented Analysis & Design,Sap Authorizations,Java Programming,HTML,ASP .NET Web Forms]",235
235,[Matric],"[JG Business Solutions,New Heights Software Development cc,Scantrack SA (Pty) Ltd,South African Expres Airways,Zytek / Accumulo]","[IT Manager,Software Development Manager,Project Manager,Developer,Consultatnt]","[Senior Programmer,IT Support Technician]",Owner Consultant,"[Software Development Manager IT Manager IT Director,Senior Developer and Machine VIsion]","[Business Analyst,DBMS,C#,Assembler,C++,Infrastructure Mangement,SQL,IT Management,Project Management,Forecasting,Infrastructure requirements,Web development,Team Management,Electronics,Budgeting,Robotics,Machine Vision,Heavy current electrical]",236
236,"[Oracle Certified Professional  (Ocp ),Senior Certificate]","[Argility,Corporation Bank of India,Jikelele Cooperative Business,PBT Group,PUBLIC INVESTMENT CORPORATION SOC LIMITED,Ucs-Software]","[ETL Developer,Oracle Developer,informatica developer,Oracle Developer]","[ETL SSIS Consultant,Informatica ETL Developer,Informatica ETL Developer]",ETL Developer,"[BI Consultant,ETL Developer]","[ssis,oracle,java,plsql,shell script,Oracle Developer,Etl Developer,Informatica Developer,Etl / Ssis Consultant]",237
237,"[PhD Bioinformatics,Computer Science]","[Amazon,Rhodes University]","[Software Engineer,Software Developer,Software Development Engineer]",[],Software Development Engineer,[Software Developer],"[Django,Full stack,MVC,Web services,Web development,Python,HPC,React,Knockout.js,JavaScript,System Design,Web APIs,REST,Cloud Architecture,AWS,CI,C++,Bootstrap,Java,CSS,Front-end,C#]",238
238,"[Sun Certified Business Component Developer For J2e,Sun Certified Programmer For The Java 2 Platform 1,Object Orientated Design And Programming Course,B.Sc Wits University 2002]",[Astrolabe Group],[],[],Developer Team Leader,[],"[Java,EJB,Jboss,Eclipse,JSP,Struts,ANT,HTML,XML,SQL]",239
239,"[Mba [Oxon],B.Bus.Sci [Finance/Accounting] (Uct),Matric]","[Andersen Consulting,Bishops College,CRT (Consulting, Recruitment & Training),Ernst & Young,Gonxtmove.Com,IFM Asset Management,Jcci: Sandton Region,JP Morgan,Medscheme Holdings,Prudential Portfolio Managers,Smuts Hall,Standard Bank, Liberty, Other,ST Francis Bay Golf Club,The Dental Institute,Unique Dental,University of Cape Town,Warburg Dillon Read]",[],"[Managing Director,Business Development Director,Senior Manager Business Development,Specialist Consultant,Specialist Consultant,Euro Programme Manager,Operations Consultant,Management Accountant & Financial Analyst,Financial Analyst,Finance Lecturer,Student Teacher,Sub,Golf Club Co-Ordinator,Student Council Rag Chairman,Junior Audit Clerk]",Chairman Jcci,"[Partner,Specialist Consultant Facilitator Bus Developer]","[Decision Support,mis,Facilitator,Facilitations,Recruitment,Recruiting,Management Consulting,Motivating,Organisation Development,Workshops,People Development,Problem Solving,Valuations,Valuing Business,Building Systems,Public Speaking,Business Process Reengineering,Business Plans,Change Management,Consulting,Delivery,Design,Excel Vba,Finance,Financial,Financial Analysis,Invoicing,Lecturer,Management,mba,Account Management,Supply Contract Negotiation,Business Development,Artificial Intelligence,Joint Ventures,Networking,Negotiation,Accountancy,Customer Relationship Management,Counseling,Marketing,Brand Management,Financial Statements,Contract Management,Derivatives,Foreign Exchange]",240
240,"[Oracle Certified Developer,Computer  Science]","[Leading Investment Banking,Prodapt,Retail Provider]",[Senior Java Developer],[],Seniour Java Developer,"[Seniour Java Developer,Technical Dev Lead]","[C, Java,C#,Pl/Sql,,\uf0fc\tServlets, Jsp, Java Bean, Jstl, Custom Tags, Ejb,Struts, Spring, Hibernate2.1,\uf0fc\tMS Access 2000,Oracle,Db2,Sql Server]",241
241,[BSc Informatics],"[Brolaz South Africa,Deezinetech,Dental 4 Life (Pty) Ltd,Universal Healthcare]","[ASP.NET Developer,Mobile Developer,Vb.Net Developer,Senior Delphi Developer,Systems Analyst]","[Shipping Controller & Developer,Entrepreneur]",Systems Analyst,"[SEnior Delphi Developer,IT Manager]","[Delphi Development - Database business applications,business analysis,Delphi (Android & iOS) Application development,systems analysis,web application development,Delphi,ASP .NET,VB .NET,International Shipping Management,MS Office,Robotics,C# Development,Embedded CDevelopment]",242
242,[Senior Certificate],"[BUY Direct,Evoo Street Cafe,Fincapital,International Business Intelegent,MIBIZ]",[Customer Service Consultant],"[Team Leader Call Centre,Waiter Manager,Admin Clerk]",Smart App Developer,"[Portfolio Manager,Junior Administrator]","[salesteam leader,drawing sales reports,data capturing,computer literate,Admin,assisting with office work,attend to walk in clients,filing,adminstration,answer phone calls,book keeping,call center assistant manager,assisting with managing]",243
243,[National Diploma Information Technolgy],"[Infinity Rewards,SMC Enterprise,Swisstech]","[ORACLE DEVELOPER,SQL DEVELOPER,DEVELOPER,SQL DEVELOPER,DEVELOPER]",[],Oracle Developer,"[SQL Developer,Database Developer]","[Pl/Sql,Sql Server 2008/05,Oracle Forms,Oracle Designer,Toad,Java,Jasper Report,Eclipse,Programming Knowledge,Tomcat,Strategic Thinking,Microsoft Excel,Hibernate,Aqua Data Studio,Professionalism,Conflict Management,Db Programming Knowledge,Microsoft Power Point,SQL,Oracle Report,C++,Cobol,Vb.Net,Project Management,Microsoft Visio,ACL,Systems Analysis,Pastel Accounting]",244
244,"[Jsp And Ejb,Vignette Story Server,Web Programming Diploma]",[Media 24 Naspers],[],[],Programmer Developer,[],"[Front Page 2000,HTML,Sql Server,Vignette Story Server,ASP,Photoshop,tcl,Javascript,Visual Basic,XML,Database Design And Sql With Access]",245
245,"[B.Tech Information Technology,Information Technology]","[Beyond Payments,Conlog,Helium 3 Digital,ICE Computers,Merlin Gerin T/A Conlog]","[Programmer/Developer,System Analyst,Software Developer C#,Tech Lead C#,Solutions Architect,C# Web Developer,Mobile Developer,System Analyst,Web Designer]","[Systems Software Validation Engineer,Technician]",Senior Software Engineer/Consultant,"[Senior Software Engineer,Software Developer]","[API,Typescript,SignalR,USSD,SQL,Objective-C,Angular2,C#,NTServices,XML,Git,HTML5/CSS,Web API,WCF Web Services,ASP.Net,Enterprise Architecture,Windows Forms,AngularJS,Dapper,N-Tier Architecture,Microsoft Office,SVN,Ionic/Cordova,Socket Communication,Microsoft Visio,CSS,Microsoft Message Queuing,Microsoft SQL Server 2005/2008R2/2012/2014,Entity Framework,ASP.Net MVC4,TFS,MVC,Webpack,SSRS,Good Knowledge Of Information Systems,Good Knowledge Of Relational Database(Sql),Web Designing,Java Applications,Ability To Code In C#, Java, Javascript, V.B. Net),Ability To Solve Critical Problems,Knowledge Of Object-Oriented Database(Db4o),Good Knowledge Of Relational Database(Oracle9i)]",246
246,[BCOM HONS INFS],[morpheuscommerce],[Software Developer],[],Software Developer,[],"[JQUERY,LARAVEL,JAVASCRIPT,YII,MYSQL,PHP]",247
247,"[Seagate Crystal Reports,Msce,High School]","[AST,Levi Strauss,London Bridge Software / Fair Isaacs,Treoc Holdings]","[Project Manager,Senior Developer,Senior Developer]",[Administrator Programmer],Senior Developer Support,"[Epos Support Contractor,Software Engineer]","[Mysql,PHP,HTML,Apache,CSS,Javascript,Jquery,Linux,XML,Mssql,Crystal Reports,Delphi,Centura,Sybase,Java,Oracle]",248
248,"[Diploma In Project Management (Faculty Training In,Java Development,Equation Itp,Personal Development,Project Management,Microsoft Windows Architecture For Developers,Mastering Microsoft Visual Basic,Ibm As/400 Concepts And Programming Facilities,Ibm Rpg/400 Interactive Programming,Damelin Business College \u2013 Management Principles]","[ACS (Affiliated Computer Services),Consistech,Delca Systems,Investec Bank,Investec Bank (Mauritius),Jade Computer Consultants,Misys International Banking Systems (Dubai),Misys - Solutions for Banking,SAPO / Isqm,WCS (Warehouse Control Systems)]",[],"[Technical Function Consultant,Contract Analyst Developer,Project Manager Analyst,Contractor Development Manager,Senior Developer,Programmer,Mainframe Operator]",Implementation Consultant,"[Professional Services Consultant,Technical Consultant]","[As400 Rpg Programming,Systems Implementation,Project Management,Visual Basic Programming]",249
249,"[Masters In Business Leadership,Hons (Information Systems),Introduction To Sql,Uml/Etom,Advanced Course In Business And System Analysis,B.Sc Computer Science]","[ABSA Bank,School of Computing,South African Post Office (SAPO),South African Revenue Service (SARS),Telkom]","[Management,Project Management,Business Inteligence]","[Business Analyst,Developer Application Supporter Electronic Bill,Lab Assistant]",Senior Business Analyst,"[Business Analyst,Business Analyst]","[Research,Computer Skill,Business Analysis,Communication,Project Management,Leadership Skills,Organized]",250
250,[Master Of Business Admin Marketing],"[Cellucom LLC,Dynacom LLC & AYA Global Communications,Firefly Group FZC,Shamal Media Services]",[],[Multimedia Developer Events],Advertising Account Manager,"[Account Manager,Marketing Executive]","[Press Releases,Content Management,Online Marketing,Account Management,Presentation Skills,Marketing,Creative Communications,Management,Media Planning,Multimedia Development,Negotiation,New Business Development,Newsletters,Organizational Skills,pos,Web Site Production,Advertising,Brand Management,Customer Relations Management,Directing,Business Development,Sales,Media Buying / Planning,Microsoft Works]",251
251,[BSc Hons in Information Technology],"[CodePlanet Systems,Dassettle Computers,Lewis Shipping and Clearance (Pvt)Ltd]","[Software Developer,Mobile Developer,Web Developer,Front-End Developer]",[],Software Developer,"[IT Technician,Junior Software Developer]","[System Analysis,Microsoft Office,Web Designing and Applications,Mobile App Development,Network Programming,API Integration,Programming,Databases,API Intergration,Adaptability,Teamwork,Verbal and Written Communication]",252
252,"[Bsc Computer science and information technology,Matric]",[2cana Solutions],"[IT Developer,IT Development Manager,.NET C# Developer,Java Programmer,Oracle Developer,Unix Operator,Android Developer,Mobile Developer]",[],Oracle Developer,[],"[Computer Hardware repair,visual studio,Software Development,HTML Developer,CSS Developer,MySql,Java Developer,Javascript Developer,Oracle database and plsql Developer,PHP Developer,C# Developer,Oracle forms,Java,PLSQL,UNIX,Database design,Microsoft Office,Email]",253
253,[Diploma Computer Programming & Information Sys],"[Entelligence,Ocean Basket,Pick n Pay,TAG Worldwide (The Adplates Group),X - Pert Group]",[],"[QA Change Management,Project Manager,Web Developer,Waitress]",Project Manager,"[MBP Consultant,Project Manager]",[Project Management],254
254,"[Certificate In Customer Service,Information Technology In Programming,National Certificate In System Development,Sun Certified Java Platform]","[Department of Social Development,Harvest Chartered Accountants,Modlin E-Learning]","[IT Developer and SAP Support(Internship),Web Designer,Developer]",[],Web Developer,"[Assessment Supervisor,IT Developer and SAP Support]","[CSS,ASP,Bootstrap,JS,HTML5,JQuery,Developer,Sap Crm,Trainee,Customer Service]",255
